a   EX1   1   X0   250
a   EX2   1   X1   250
a   EX3   1   Y1   350
a   EX4   1   X2   250
a   EX5   1   X3   250
a   EX6   1   Y2   300
b   EX1   1   X4   100
b   EX2   1   X5   100
b   EX3   1   Y3   300
b   EX6   1   Y4   350
c   EX1   2   X2   100
c   EX2   2   X3   100
c   EX3   2   Y0   350
c   EX4   2   X4   100
c   EX5   2   X5   100
c   EX6   2   Y1   300
d   EX1   2   X6   250
d   EX2   2   X7   250
d   EX3   2   Y2   350
d   EX4   2   X8   250
d   EX5   2   X9   250
d   EX6   2   Y3   250
e   EX1   3   X0   250
e   EX2   3   X1   250
e   EX3   3   Y1   450
e   EX4   3   X2   250
e   EX5   3   X3   250
e   EX6   3   Y2   450
f   EX1   3   X4   250
f   EX2   3   X5   250
f   EX3   3   Y3   300
f   EX6   3   Y4   400
