#ip-address apv-chip-id apv-pad-id module-id pin-id pad-id
192.168.35.72 1 32 108 32 1061
192.168.35.72 2 32 108 32 1076
192.168.35.72 3 32 108 32 1071
192.168.35.72 4 32 108 32 802
192.168.35.72 5 32 108 32 607
192.168.35.72 6 32 108 32 812
192.168.35.72 7 32 108 32 617
192.168.35.72 8 32 108 32 308
192.168.35.72 9 32 108 32 303
192.168.35.72 10 32 108 32 318
192.168.35.72 11 32 108 32 313
192.168.35.72 20 32 109 32 1066
192.168.35.72 21 32 109 32 1061
192.168.35.72 14 32 109 32 1076
192.168.35.72 15 32 109 32 1071
192.168.35.72 16 32 109 32 802
192.168.35.72 17 32 109 32 607
192.168.35.72 18 32 109 32 812
192.168.35.72 19 32 109 32 617
192.168.35.72 12 32 109 32 308
192.168.35.72 13 32 109 32 303
192.168.35.72 22 32 109 32 318
192.168.35.72 23 32 109 32 313
192.168.35.18 12 64 101 64 247
192.168.35.18 13 64 101 64 242
192.168.35.18 14 64 101 64 257
192.168.35.18 15 64 101 64 252
192.168.35.18 16 64 101 64 624
192.168.35.18 17 64 101 64 745
192.168.35.18 18 64 101 64 634
192.168.35.18 19 64 101 64 755
192.168.35.18 20 64 101 64 1167
192.168.35.18 21 64 101 64 1162
192.168.35.18 22 64 101 64 1177
192.168.35.18 23 64 101 64 1172
192.168.35.18 0 64 102 64 247
192.168.35.18 1 64 102 64 242
192.168.35.18 2 64 102 64 257
192.168.35.18 3 64 102 64 252
192.168.35.18 4 64 102 64 624
192.168.35.18 5 64 102 64 745
192.168.35.18 6 64 102 64 634
192.168.35.18 7 64 102 64 755
192.168.35.18 8 64 102 64 1167
192.168.35.18 9 64 102 64 1162
192.168.35.18 10 64 102 64 1177
192.168.35.18 11 64 102 64 1172
192.168.35.17 12 64 103 64 1172
192.168.35.17 13 64 103 64 1177
192.168.35.17 14 64 103 64 1162
192.168.35.17 15 64 103 64 1167
192.168.35.17 16 64 103 64 755
192.168.35.17 17 64 103 64 634
192.168.35.17 18 64 103 64 745
192.168.35.17 19 64 103 64 624
192.168.35.17 20 64 103 64 252
192.168.35.17 21 64 103 64 257
192.168.35.17 22 64 103 64 242
192.168.35.17 23 64 103 64 247
192.168.35.17 0 64 104 64 247
192.168.35.17 1 64 104 64 242
192.168.35.17 2 64 104 64 257
192.168.35.17 3 64 104 64 252
192.168.35.17 4 64 104 64 624
192.168.35.17 5 64 104 64 745
192.168.35.17 6 64 104 64 634
192.168.35.17 7 64 104 64 755
192.168.35.17 8 64 104 64 1167
192.168.35.17 9 64 104 64 1162
192.168.35.17 10 64 104 64 1177
192.168.35.17 11 64 104 64 1172
192.168.35.71 0 64 106 64 1167
192.168.35.71 1 64 106 64 1162
192.168.35.71 2 64 106 64 1177
192.168.35.71 3 64 106 64 1172
192.168.35.71 4 64 106 64 745
192.168.35.71 5 64 106 64 624
192.168.35.71 6 64 106 64 755
192.168.35.71 7 64 106 64 634
192.168.35.71 8 64 106 64 247
192.168.35.71 9 64 106 64 242
192.168.35.71 10 64 106 64 257
192.168.35.71 11 64 106 64 252
192.168.35.71 12 64 107 64 1167
192.168.35.71 13 64 107 64 1162
192.168.35.71 14 64 107 64 1177
192.168.35.71 15 64 107 64 1172
192.168.35.71 16 64 107 64 745
192.168.35.71 17 64 107 64 624
192.168.35.71 18 64 107 64 755
192.168.35.71 19 64 107 64 634
192.168.35.71 20 64 107 64 247
192.168.35.71 21 64 107 64 242
192.168.35.71 22 64 107 64 257
192.168.35.71 23 64 107 64 252
192.168.35.72 0 64 108 64 1167
192.168.35.72 1 64 108 64 1162
192.168.35.72 2 64 108 64 1177
192.168.35.72 3 64 108 64 1172
192.168.35.72 4 64 108 64 745
192.168.35.72 5 64 108 64 624
192.168.35.72 6 64 108 64 755
192.168.35.72 7 64 108 64 634
192.168.35.72 8 64 108 64 247
192.168.35.72 9 64 108 64 242
192.168.35.72 10 64 108 64 257
192.168.35.72 11 64 108 64 252
192.168.35.72 20 64 109 64 1167
192.168.35.72 21 64 109 64 1162
192.168.35.72 14 64 109 64 1177
192.168.35.72 15 64 109 64 1172
192.168.35.72 16 64 109 64 745
192.168.35.72 17 64 109 64 624
192.168.35.72 18 64 109 64 755
192.168.35.72 19 64 109 64 634
192.168.35.72 12 64 109 64 247
192.168.35.72 13 64 109 64 242
192.168.35.72 22 64 109 64 257
192.168.35.72 23 64 109 64 252
192.168.35.18 12 96 101 96 406
192.168.35.18 13 96 101 96 401
192.168.35.18 14 96 101 96 416
192.168.35.18 15 96 101 96 411
192.168.35.18 16 96 101 96 682
192.168.35.18 17 96 101 96 727
192.168.35.18 18 96 101 96 692
192.168.35.18 19 96 101 96 737
192.168.35.18 20 96 101 96 1008
192.168.35.18 21 96 101 96 1003
192.168.35.18 22 96 101 96 1018
192.168.35.18 23 96 101 96 1013
192.168.35.18 0 96 102 96 406
192.168.35.18 1 96 102 96 401
192.168.35.18 2 96 102 96 416
192.168.35.18 3 96 102 96 411
192.168.35.18 4 96 102 96 682
192.168.35.18 5 96 102 96 727
192.168.35.18 6 96 102 96 692
192.168.35.18 7 96 102 96 737
192.168.35.18 8 96 102 96 1008
192.168.35.18 9 96 102 96 1003
192.168.35.18 10 96 102 96 1018
192.168.35.18 11 96 102 96 1013
192.168.35.17 12 96 103 96 1013
192.168.35.17 13 96 103 96 1018
192.168.35.17 14 96 103 96 1003
192.168.35.17 15 96 103 96 1008
192.168.35.17 16 96 103 96 737
192.168.35.17 17 96 103 96 692
192.168.35.17 18 96 103 96 727
192.168.35.17 19 96 103 96 682
192.168.35.17 20 96 103 96 411
192.168.35.17 21 96 103 96 416
192.168.35.17 22 96 103 96 401
192.168.35.17 23 96 103 96 406
192.168.35.17 0 96 104 96 406
192.168.35.17 1 96 104 96 401
192.168.35.17 2 96 104 96 416
192.168.35.17 3 96 104 96 411
192.168.35.17 4 96 104 96 682
192.168.35.17 5 96 104 96 727
192.168.35.17 6 96 104 96 692
192.168.35.17 7 96 104 96 737
192.168.35.17 8 96 104 96 1008
192.168.35.17 9 96 104 96 1003
192.168.35.17 10 96 104 96 1018
192.168.35.17 11 96 104 96 1013
192.168.35.71 0 96 106 96 1008
192.168.35.71 1 96 106 96 1003
192.168.35.71 2 96 106 96 1018
192.168.35.71 3 96 106 96 1013
192.168.35.71 4 96 106 96 727
192.168.35.71 5 96 106 96 682
192.168.35.71 6 96 106 96 737
192.168.35.71 7 96 106 96 692
192.168.35.71 8 96 106 96 406
192.168.35.71 9 96 106 96 401
192.168.35.71 10 96 106 96 416
192.168.35.71 11 96 106 96 411
192.168.35.71 12 96 107 96 1008
192.168.35.71 13 96 107 96 1003
192.168.35.71 14 96 107 96 1018
192.168.35.71 15 96 107 96 1013
192.168.35.71 16 96 107 96 727
192.168.35.71 17 96 107 96 682
192.168.35.71 18 96 107 96 737
192.168.35.71 19 96 107 96 692
192.168.35.71 20 96 107 96 406
192.168.35.71 21 96 107 96 401
192.168.35.71 22 96 107 96 416
192.168.35.71 23 96 107 96 411
192.168.35.72 0 96 108 96 1008
192.168.35.72 1 96 108 96 1003
192.168.35.72 2 96 108 96 1018
192.168.35.72 3 96 108 96 1013
192.168.35.72 4 96 108 96 727
192.168.35.72 5 96 108 96 682
192.168.35.72 6 96 108 96 737
192.168.35.72 7 96 108 96 692
192.168.35.72 8 96 108 96 406
192.168.35.72 9 96 108 96 401
192.168.35.72 10 96 108 96 416
192.168.35.72 11 96 108 96 411
192.168.35.72 20 96 109 96 1008
192.168.35.72 21 96 109 96 1003
192.168.35.72 14 96 109 96 1018
192.168.35.72 15 96 109 96 1013
192.168.35.72 16 96 109 96 727
192.168.35.72 17 96 109 96 682
192.168.35.72 18 96 109 96 737
192.168.35.72 19 96 109 96 692
192.168.35.72 12 96 109 96 406
192.168.35.72 13 96 109 96 401
192.168.35.72 22 96 109 96 416
192.168.35.72 23 96 109 96 411
192.168.35.18 12 8 101 8 309
192.168.35.18 13 8 101 8 304
192.168.35.18 14 8 101 8 319
192.168.35.18 15 8 101 8 314
192.168.35.18 16 8 101 8 609
192.168.35.18 17 8 101 8 800
192.168.35.18 18 8 101 8 619
192.168.35.18 19 8 101 8 810
192.168.35.18 20 8 101 8 1065
192.168.35.18 21 8 101 8 1060
192.168.35.18 22 8 101 8 1075
192.168.35.18 23 8 101 8 1070
192.168.35.18 0 8 102 8 309
192.168.35.18 1 8 102 8 304
192.168.35.18 2 8 102 8 319
192.168.35.18 3 8 102 8 314
192.168.35.18 4 8 102 8 609
