# A : Adujst (misalign paramter)
# D : Design values
# Key                                     x [mm]       y [mm]       z [mm]   rotx [deg]   roty [deg]   rotz [deg]  cent_x [mm]  cent_y [mm]  cent_z [mm]
A:E16:GTR:Frame01:Layer02:Chamber03            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame01:Layer02:Chamber04            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame01:Layer02:Chamber05            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame02                              0            0            0            0            0            0            0      -460.29       461.71
A:E16:GTR:Frame02:Layer00                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame02:Layer00:Chamber06            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame02:Layer00:Chamber07            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame02:Layer00:Chamber08            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame02:Layer01                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame02:Layer01:Chamber06            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame02:Layer01:Chamber07            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame02:Layer01:Chamber08            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame02:Layer02                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame02:Layer02:Chamber06            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame02:Layer02:Chamber07            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame02:Layer02:Chamber08            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame03                              0            0            0            0            0            0            0      -460.29       461.71
A:E16:GTR:Frame03:Layer00                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame03:Layer00:Chamber09            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame03:Layer00:Chamber10            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame03:Layer00:Chamber11            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame03:Layer01                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame03:Layer01:Chamber09            0            0            0            0            0            0            0            0            0
