3	0	0	104	55	5	5
3	0	1	104	45	5	4
3	0	2	104	36	6	3
3	0	3	104	26	6	2
3	0	4	104	15	5	1
3	0	5	104	5	5	0
3	0	6	104	54	4	5
3	0	7	104	44	4	4
3	0	8	104	35	5	3
3	0	9	104	25	5	2
3	0	10	104	14	4	1
3	0	11	104	4	4	0
3	0	12	104	53	3	5
3	0	13	104	43	3	4
3	0	14	104	34	4	3
3	0	15	104	24	4	2
3	0	16	104	13	3	1
3	0	17	104	3	3	0
3	0	18	104	52	2	5
3	0	19	104	42	2	4
3	0	20	104	33	3	3
3	0	21	104	23	3	2
3	0	22	104	12	2	1
3	0	23	104	2	2	0
3	0	24	104	51	1	5
3	0	25	104	41	1	4
3	0	26	104	32	2	3
3	0	27	104	22	2	2
3	0	28	104	11	1	1
3	0	29	104	1	1	0
3	0	30	104	50	0	5
3	0	31	104	40	0	4
3	0	32	104	31	1	3
3	0	33	104	21	1	2
3	0	34	104	10	0	1
3	0	35	104	0	0	0
3	0	36	104	30	0	3
3	0	37	104	20	0	2
3	0	38	103	55	5	5
3	0	39	103	45	5	4
3	0	40	103	36	6	3
3	0	41	103	26	6	2
3	0	42	103	15	5	1
3	0	43	103	5	5	0
3	0	44	255	255	255	255
3	0	45	255	255	255	255
3	0	46	255	255	255	255
3	0	47	255	255	255	255
3	0	48	103	54	4	5
3	0	49	103	44	4	4
3	0	50	103	35	5	3
3	0	51	103	25	5	2
3	0	52	103	14	4	1
3	0	53	103	4	4	0
3	0	54	103	53	3	5
3	0	55	103	43	3	4
3	0	56	103	34	4	3
3	0	57	103	24	4	2
3	0	58	103	13	3	1
3	0	59	103	3	3	0
3	0	60	103	52	2	5
3	0	61	103	42	2	4
3	0	62	103	33	3	3
3	0	63	103	23	3	2
3	1	0	103	12	2	1
3	1	1	103	2	2	0
3	1	2	103	51	1	5
3	1	3	103	41	1	4
3	1	4	103	32	2	3
3	1	5	103	22	2	2
3	1	6	103	11	1	1
3	1	7	103	1	1	0
3	1	8	103	50	0	5
3	1	9	103	40	0	4
3	1	10	103	31	1	3
3	1	11	103	21	1	2
3	1	12	103	10	0	1
3	1	13	103	0	0	0
3	1	14	103	30	0	3
3	1	15	103	20	0	2
3	1	16	102	55	5	5
3	1	17	102	45	5	4
3	1	18	102	36	6	3
3	1	19	102	26	6	2
3	1	20	102	15	5	1
3	1	21	102	5	5	0
3	1	22	102	54	4	5
3	1	23	102	44	4	4
3	1	24	102	35	5	3
3	1	25	102	25	5	2
3	1	26	102	14	4	1
3	1	27	102	4	4	0
3	1	28	255	255	255	255
3	1	29	255	255	255	255
3	1	30	255	255	255	255
3	1	31	255	255	255	255
3	1	32	102	53	3	5
3	1	33	102	43	3	4
3	1	34	102	34	4	3
3	1	35	102	24	4	2
3	1	36	102	13	3	1
3	1	37	102	3	3	0
3	1	38	102	52	2	5
3	1	39	102	42	2	4
3	1	40	102	33	3	3
3	1	41	102	23	3	2
3	1	42	102	12	2	1
3	1	43	102	2	2	0
3	1	44	102	51	1	5
3	1	45	102	41	1	4
3	1	46	102	32	2	3
3	1	47	102	22	2	2
3	1	48	102	11	1	1
3	1	49	102	1	1	0
3	1	50	102	50	0	5
3	1	51	102	40	0	4
3	1	52	102	31	1	3
3	1	53	102	21	1	2
3	1	54	102	10	0	1
3	1	55	102	0	0	0
3	1	56	102	30	0	3
3	1	57	102	20	0	2
3	1	58	255	255	255	255
3	1	59	255	255	255	255
3	1	60	255	255	255	255
3	1	61	255	255	255	255
3	1	62	255	255	255	255
3	1	63	255	255	255	255
3	2	0	101	55	5	5
3	2	1	101	45	5	4
3	2	2	101	36	6	3
3	2	3	101	26	6	2
3	2	4	101	15	5	1
3	2	5	101	5	5	0
3	2	6	101	54	4	5
3	2	7	101	44	4	4
3	2	8	101	35	5	3
3	2	9	101	25	5	2
3	2	10	101	14	4	1
3	2	11	101	4	4	0
3	2	12	101	53	3	5
3	2	13	101	43	3	4
3	2	14	101	34	4	3
3	2	15	101	24	4	2
3	2	16	101	13	3	1
3	2	17	101	3	3	0
3	2	18	101	52	2	5
3	2	19	101	42	2	4
3	2	20	101	33	3	3
3	2	21	101	23	3	2
3	2	22	101	12	2	1
3	2	23	101	2	2	0
3	2	24	101	51	1	5
3	2	25	101	41	1	4
3	2	26	101	32	2	3
3	2	27	101	22	2	2
3	2	28	101	11	1	1
3	2	29	101	1	1	0
3	2	30	101	50	0	5
3	2	31	101	40	0	4
3	2	32	101	31	1	3
3	2	33	101	21	1	2
3	2	34	101	10	0	1
3	2	35	101	0	0	0
3	2	36	101	30	0	3
3	2	37	101	20	0	2
3	2	38	255	255	255	255
3	2	39	255	255	255	255
3	2	40	255	255	255	255
3	2	41	255	255	255	255
3	2	42	255	255	255	255
3	2	43	255	255	255	255
3	2	44	255	255	255	255
3	2	45	255	255	255	255
3	2	46	255	255	255	255
3	2	47	255	255	255	255
3	2	48	255	255	255	255
3	2	49	255	255	255	255
3	2	50	255	255	255	255
3	2	51	255	255	255	255
3	2	52	255	255	255	255
3	2	53	255	255	255	255
3	2	54	255	255	255	255
3	2	55	255	255	255	255
3	2	56	255	255	255	255
3	2	57	255	255	255	255
3	2	58	255	255	255	255
3	2	59	255	255	255	255
3	2	60	255	255	255	255
3	2	61	255	255	255	255
3	2	62	255	255	255	255
3	2	63	255	255	255	255
3	3	0	106	50	0	5
3	3	1	106	40	0	4
3	3	2	106	30	0	3
3	3	3	106	20	0	2
3	3	4	106	10	0	1
3	3	5	106	0	0	0
3	3	6	106	51	1	5
3	3	7	106	41	1	4
3	3	8	106	31	1	3
3	3	9	106	21	1	2
3	3	10	106	11	1	1
3	3	11	106	1	1	0
3	3	12	106	52	2	5
3	3	13	106	42	2	4
3	3	14	106	32	2	3
3	3	15	106	22	2	2
3	3	16	106	12	2	1
3	3	17	106	2	2	0
3	3	18	106	53	3	5
3	3	19	106	43	3	4
3	3	20	106	33	3	3
3	3	21	106	23	3	2
3	3	22	106	13	3	1
3	3	23	106	3	3	0
3	3	24	106	54	4	5
3	3	25	106	44	4	4
3	3	26	106	34	4	3
3	3	27	106	24	4	2
3	3	28	106	14	4	1
3	3	29	106	4	4	0
3	3	30	106	55	5	5
3	3	31	106	45	5	4
3	3	32	106	35	5	3
3	3	33	106	25	5	2
3	3	34	106	15	5	1
3	3	35	106	5	5	0
3	3	36	106	36	6	3
3	3	37	106	26	6	2
3	3	38	107	50	0	5
3	3	39	107	40	0	4
3	3	40	107	30	0	3
3	3	41	107	20	0	2
3	3	42	107	10	0	1
3	3	43	107	0	0	0
3	3	44	255	255	255	255
3	3	45	255	255	255	255
3	3	46	255	255	255	255
3	3	47	255	255	255	255
3	3	48	107	51	1	5
3	3	49	107	41	1	4
3	3	50	107	31	1	3
3	3	51	107	21	1	2
3	3	52	107	11	1	1
3	3	53	107	1	1	0
3	3	54	107	52	2	5
3	3	55	107	42	2	4
3	3	56	107	32	2	3
3	3	57	107	22	2	2
3	3	58	107	12	2	1
3	3	59	107	2	2	0
3	3	60	107	53	3	5
3	3	61	107	43	3	4
3	3	62	107	33	3	3
3	3	63	107	23	3	2
4	0	0	107	13	3	1
4	0	1	107	3	3	0
4	0	2	107	54	4	5
4	0	3	107	44	4	4
4	0	4	107	34	4	3
4	0	5	107	24	4	2
4	0	6	107	14	4	1
4	0	7	107	4	4	0
4	0	8	107	55	5	5
4	0	9	107	45	5	4
4	0	10	107	35	5	3
4	0	11	107	25	5	2
4	0	12	107	15	5	1
4	0	13	107	5	5	0
4	0	14	107	36	6	3
4	0	15	107	26	6	2
4	0	16	108	50	0	5
4	0	17	108	40	0	4
4	0	18	108	30	0	3
4	0	19	108	20	0	2
4	0	20	108	10	0	1
4	0	21	108	0	0	0
4	0	22	108	51	1	5
4	0	23	108	41	1	4
4	0	24	108	31	1	3
4	0	25	108	21	1	2
4	0	26	108	11	1	1
4	0	27	108	1	1	0
4	0	28	255	255	255	255
4	0	29	255	255	255	255
4	0	30	255	255	255	255
4	0	31	255	255	255	255
4	0	32	108	52	2	5
4	0	33	108	42	2	4
4	0	34	108	32	2	3
4	0	35	108	22	2	2
4	0	36	108	12	2	1
4	0	37	108	2	2	0
4	0	38	108	53	3	5
4	0	39	108	43	3	4
4	0	40	108	33	3	3
4	0	41	108	23	3	2
4	0	42	108	13	3	1
4	0	43	108	3	3	0
4	0	44	108	54	4	5
4	0	45	108	44	4	4
4	0	46	108	34	4	3
4	0	47	108	24	4	2
4	0	48	108	14	4	1
4	0	49	108	4	4	0
4	0	50	108	55	5	5
4	0	51	108	45	5	4
4	0	52	108	35	5	3
4	0	53	108	25	5	2
4	0	54	108	15	5	1
4	0	55	108	5	5	0
4	0	56	108	36	6	3
4	0	57	108	26	6	2
4	0	58	255	255	255	255
4	0	59	255	255	255	255
4	0	60	255	255	255	255
4	0	61	255	255	255	255
4	0	62	255	255	255	255
4	0	63	255	255	255	255
4	1	0	109	50	0	5
4	1	1	109	40	0	4
4	1	2	109	30	0	3
4	1	3	109	20	0	2
4	1	4	109	10	0	1
4	1	5	109	0	0	0
4	1	6	109	51	1	5
4	1	7	109	41	1	4
4	1	8	109	31	1	3
4	1	9	109	21	1	2
4	1	10	109	11	1	1
4	1	11	109	1	1	0
4	1	12	109	52	2	5
4	1	13	109	42	2	4
4	1	14	109	32	2	3
4	1	15	109	22	2	2
4	1	16	109	12	2	1
4	1	17	109	2	2	0
4	1	18	109	53	3	5
4	1	19	109	43	3	4
4	1	20	109	33	3	3
4	1	21	109	23	3	2
4	1	22	109	13	3	1
4	1	23	109	3	3	0
4	1	24	109	54	4	5
4	1	25	109	44	4	4
4	1	26	109	34	4	3
4	1	27	109	24	4	2
4	1	28	109	14	4	1
4	1	29	109	4	4	0
4	1	30	109	55	5	5
4	1	31	109	45	5	4
4	1	32	109	35	5	3
4	1	33	109	25	5	2
4	1	34	109	15	5	1
4	1	35	109	5	5	0
4	1	36	109	36	6	3
4	1	37	109	26	6	2
4	1	38	255	255	255	255
4	1	39	255	255	255	255
4	1	40	255	255	255	255
4	1	41	255	255	255	255
4	1	42	255	255	255	255
4	1	43	255	255	255	255
4	1	44	255	255	255	255
