#GTR 10cm center-y
0.  0.  0.

#GTR2 Local dx
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.

#GTR3 Local dx
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.

#GTR1 Local dy
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.

#GTR2 Local dy
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.

#GTR3 Local dy
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.

#GTR1 Local dz
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.

#GTR2 Local dz
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.

#GTR3 Local dz
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.

#GTR1 Local rotx
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.

#GTR2 Local rotx
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.

#GTR3 Local rotx
0.  0.  0.
0.  0.  0.
