X1	0	0
X1	1	1
X1	2	2
X1	3	3
X1	4	4
X1	5	5
X1	6	6
X1	7	7
X1	8	8
X1	9	9
X1	10	10
X1	11	11
X1	12	12
X1	13	13
X1	14	14
X1	15	15
X1	16	16
X1	17	17
X1	18	18
X1	19	19
X1	20	20
X1	21	21
X1	22	22
X1	23	23
X1	24	24
X1	25	25
X1	26	26
X1	27	27
X1	28	28
X1	29	29
X1	30	30
X1	31	31
X1	32	32
X1	33	33
X1	34	34
X1	35	35
X1	36	36
X1	37	37
X1	38	38
X1	39	39
X1	40	40
X1	41	41
X1	42	42
X1	43	43
X1	44	44
X1	45	45
X1	46	46
X1	47	47
X2	0	48
X2	1	49
X2	2	50
X2	3	51
X2	4	52
X2	5	53
X2	6	54
X2	7	55
X2	8	56
X2	9	57
X2	10	58
X2	11	59
X2	12	60
X2	13	61
X2	14	62
X2	15	63
X2	16	64
X2	17	65
X2	18	66
X2	19	67
X2	20	68
X2	21	69
X2	22	70
X2	23	71
X2	24	72
X2	25	73
X2	26	74
X2	27	75
X2	28	76
X2	29	77
X2	30	78
X2	31	79
X2	32	80
X2	33	81
X2	34	82
X2	35	83
X2	36	84
X2	37	85
X2	38	86
X2	39	87
X2	40	88
X2	41	89
X2	42	90
X2	43	91
X2	44	92
X2	45	93
X2	46	94
X2	47	95
X3	0	96
X3	1	97
X3	2	98
X3	3	99
X3	4	100
X3	5	101
X3	6	102
X3	7	103
X3	8	104
X3	9	105
X3	10	106
X3	11	107
X3	12	108
X3	13	109
X3	14	110
X3	15	111
X3	16	112
X3	17	113
X3	18	114
X3	19	115
X3	20	116
X3	21	117
X3	22	118
X3	23	119
X3	24	120
X3	25	121
X3	26	122
X3	27	123
X3	28	124
X3	29	125
X3	30	126
X3	31	127
X3	32	128
X3	33	129
X3	34	130
X3	35	131
X3	36	132
X3	37	133
X3	38	134
X3	39	135
X3	40	136
X3	41	137
X3	42	138
X3	43	139
X3	44	140
X3	45	141
X3	46	142
X3	47	143
X4	0	144
X4	1	145
X4	2	146
X4	3	147
X4	4	148
X4	5	149
X4	6	150
X4	7	151
X4	8	152
X4	9	153
X4	10	154
X4	11	155
X4	12	156
X4	13	157
X4	14	158
X4	15	159
X4	16	160
X4	17	161
X4	18	162
X4	19	163
X4	20	164
X4	21	165
X4	22	166
X4	23	167
X4	24	168
X4	25	169
X4	26	170
X4	27	171
X4	28	172
X4	29	173
X4	30	174
X4	31	175
X4	32	176
X4	33	177
X4	34	178
X4	35	179
X4	36	180
X4	37	181
X4	38	182
X4	39	183
X4	40	184
X4	41	185
X4	42	186
X4	43	187
X4	44	188
X4	45	189
X4	46	190
X4	47	191
X5	0	192
X5	1	193
X5	2	194
X5	3	195
X5	4	196
X5	5	197
X5	6	198
X5	7	199
X5	8	200
X5	9	201
X5	10	202
X5	11	203
X5	12	204
X5	13	205
X5	14	206
X5	15	207
X5	16	208
X5	17	209
X5	18	210
X5	19	211
X5	20	212
X5	21	213
X5	22	214
X5	23	215
X5	24	216
X5	25	217
X5	26	218
X5	27	219
X5	28	220
X5	29	221
X5	30	222
X5	31	223
X5	32	224
X5	33	225
X5	34	226
X5	35	227
X5	36	228
X5	37	229
X5	38	230
X5	39	231
X5	40	232
X5	41	233
X5	42	234
X5	43	235
X5	44	236
X5	45	237
X5	46	238
X5	47	239
X6	0	240
X6	1	241
X6	2	242
X6	3	243
X6	4	244
X6	5	245
X6	6	246
X6	7	247
X6	8	248
X6	9	249
X6	10	250
X6	11	251
X6	12	252
X6	13	253
X6	14	254
X6	15	255
X6	16	256
X6	17	257
X6	18	258
X6	19	259
X6	20	260
X6	21	261
X6	22	262
X6	23	263
X6	24	264
X6	25	265
X6	26	266
X6	27	267
X6	28	268
X6	29	269
X6	30	270
X6	31	271
X6	32	272
X6	33	273
X6	34	274
X6	35	275
X6	36	276
X6	37	277
X6	38	278
X6	39	279
X6	40	280
X6	41	281
X6	42	282
X6	43	283
X6	44	284
X6	45	285
X6	46	286
X6	47	287
YL1	0	288
