L	30	0	106	0	19	6	1	-1
L	30	1	106	1	19	7	1	-1
L	30	2	106	2	19	8	1	-1
L	30	3	106	3	19	9	1	-1
L	30	4	106	4	19	10	1	-1
L	30	5	106	5	19	11	1	-1
L	30	6	106	6	19	12	1	-1
L	30	7	106	7	19	13	1	-1
L	30	8	106	10	23	12	1	-1
L	30	9	106	11	23	13	1	-1
L	30	10	106	12	23	14	1	-1
L	30	11	106	13	23	15	1	-1
L	30	12	106	20	23	8	1	-1
L	30	13	106	21	23	9	1	-1
L	30	14	106	22	23	10	1	-1
L	30	15	106	23	23	11	1	-1
L	30	16	106	30	23	4	1	-1
L	30	17	106	31	23	5	1	-1
L	30	18	106	32	23	6	1	-1
L	30	19	106	33	23	7	1	-1
L	30	20	106	40	23	0	1	-1
L	30	21	106	41	23	1	1	-1
L	30	22	106	42	23	2	1	-1
L	30	23	106	43	23	3	1	-1
L	30	24	106	50	3	12	1	-1
L	30	25	106	51	3	13	1	-1
L	30	26	106	52	3	14	1	-1
L	30	27	106	53	3	15	1	-1
R	30	0	104	55	11	12	1	-1
R	30	1	104	54	11	13	1	-1
R	30	2	104	45	11	14	1	-1
R	30	3	104	44	11	15	1	-1
R	30	4	104	36	14	12	1	-1
R	30	5	104	35	14	13	1	-1
R	30	6	104	26	14	14	1	-1
R	30	7	104	25	14	15	1	-1
R	30	8	104	15	22	6	1	-1
R	30	9	104	14	22	7	1	-1
R	30	10	104	5	22	8	1	-1
R	30	11	104	4	22	9	1	-1
R	30	12	104	3	22	10	1	-1
R	30	13	104	2	22	11	1	-1
R	30	14	104	1	22	12	1	-1
R	30	15	104	0	22	13	1	-1
