#GTR 10cm center-y
-12.5380 0. 12.5380
-14.0100 0. 14.0100
-12.5380 0. 12.5380
-14.0100 0. 14.0100
-12.5380 0. 12.5380
-14.0100 0. 14.0100
-12.5380 0. 12.5380
-14.0100 0. 14.0100
-12.5380 0. 12.5380
#GTR 20cm center-y
-24.3240 0. 24.3240
-26.6390 0. 26.6390 
-24.3240 0. 24.3240
-26.6390 0. 26.6390 
-24.3240 0. 24.3240
-26.6390 0. 26.6390 
-24.3240 0. 24.3240
-26.6390 0. 26.6390 
-24.3240 0. 24.3240
#GTR 30cm center-y
-37.4780 0. 37.4780
-35.8450 0. 35.8450
-37.4780 0. 37.4780
-35.8450 0. 35.8450
-37.4780 0. 37.4780
-35.8450 0. 35.8450
-37.4780 0. 37.4780
-35.8450 0. 35.8450
-37.4780 0. 37.4780

#GTR 10cm center-z
19.77 19.77 19.77 
23.80 23.80 23.80  
19.77 19.77 19.77 
23.80 23.80 23.80  
19.77 19.77 19.77 
23.80 23.80 23.80  
19.77 19.77 19.77 
23.80 23.80 23.80  
19.77 19.77 19.77 
#GTR 20cm center-z
39.81 39.81 39.81
44.01 44.01 44.01
39.81 39.81 39.81
44.01 44.01 44.01
39.81 39.81 39.81
44.01 44.01 44.01
39.81 39.81 39.81
44.01 44.01 44.01
39.81 39.81 39.81
#GTR 30cm center-z
58.635 58.635 58.635 
63.628 63.628 63.628 
58.635 58.635 58.635 
63.628 63.628 63.628 
58.635 58.635 58.635 
63.628 63.628 63.628 
58.635 58.635 58.635 
63.628 63.628 63.628 
58.635 58.635 58.635 

#HBD center-y
-77.46 0. 77.46
-77.46 0. 77.46
-77.46 0. 77.46
-77.46 0. 77.46
-77.46 0. 77.46
-77.46 0. 77.46
-77.46 0. 77.46
-77.46 0. 77.46
-77.46 0. 77.46

#HBD center-z
120. 120. 120. 
120. 120. 120. 
120. 120. 120. 
120. 120. 120. 
120. 120. 120. 
120. 120. 120. 
120. 120. 120. 
120. 120. 120. 
120. 120. 120. 

#GTR angle
109.74 109.74 109.74 
83.78 83.78 83.78
57.82 57.82 57.82
31.86 31.86 31.86
  0.00   0.00   0.00
-31.86 -31.86 -31.86
-57.82 -57.82 -57.82
-83.78 -83.78 -83.78
-109.74 -109.74 -109.74 
