34    EX1    0
38    EX1    1
42    EX1    2
46    EX1    3
50    EX1    4
54    EX1    5
58    EX1    6
62    EX1    7
2    EX1    8
6    EX1    9
10    EX1    10
14    EX1    11
18    EX1    12
22    EX1    13
26    EX1    14
30    EX1    15
28    EX1    16
24    EX1    17
20    EX1    18
16    EX1    19
12    EX1    20
8    EX1    21
4    EX1    22
0    EX1    23
126    EX1    24
122    EX1    25
118    EX1    26
114    EX1    27
110    EX1    28
106    EX1    29
102    EX1    30
98    EX1    31
96    EX1    32
100    EX1    33
104    EX1    34
108    EX1    35
112    EX1    36
116    EX1    37
120    EX1    38
124    EX1    39
64    EX1    40
68    EX1    41
72    EX1    42
76    EX1    43
80    EX1    44
84    EX1    45
88    EX1    46
92    EX1    47
60    EX2    0
56    EX2    1
52    EX2    2
48    EX2    3
44    EX2    4
40    EX2    5
36    EX2    6
32    EX2    7
15    EX2    8
13    EX2    9
9    EX2    10
11    EX2    11
7    EX2    12
5    EX2    13
1    EX2    14
3    EX2    15
31    EX2    16
29    EX2    17
25    EX2    18
27    EX2    19
23    EX2    20
21    EX2    21
17    EX2    22
19    EX2    23
109    EX2    24
111    EX2    25
107    EX2    26
105    EX2    27
101    EX2    28
103    EX2    29
99    EX2    30
97    EX2    31
125    EX2    32
127    EX2    33
123    EX2    34
121    EX2    35
117    EX2    36
119    EX2    37
115    EX2    38
113    EX2    39
94    EX2    40
90    EX2    41
86    EX2    42
82    EX2    43
78    EX2    44
74    EX2    45
70    EX2    46
66    EX2    47
47    EX3    0
45    EX3    1
41    EX3    2
43    EX3    3
39    EX3    4
37    EX3    5
33    EX3    6
35    EX3    7
63    EX3    8
61    EX3    9
57    EX3    10
59    EX3    11
55    EX3    12
53    EX3    13
49    EX3    14
51    EX3    15
77    EX3    16
79    EX3    17
75    EX3    18
73    EX3    19
69    EX3    20
71    EX3    21
67    EX3    22
65    EX3    23
93    EX3    24
95    EX3    25
91    EX3    26
89    EX3    27
85    EX3    28
87    EX3    29
83    EX3    30
81    EX3    31
