0 0  104 a
0 1  104 b
0 2  104 c
0 3  104 d
0 4  104 e
0 5  104 f
0 6  104 g
0 7  104 h
0 8  104 i
0 9  103 a
0 10 103 b
0 11 103 c
1 0  103 d
1 1  103 e
1 2  103 f
1 3  103 g
1 4  103 h
1 5  103 i
1 6  102 a
1 7  102 b
1 8  102 c
1 9  102 d
1 10 102 e
1 11 102 f
2 0  102 g
2 1  102 h
2 2  102 i
2 3  101 a
2 5  101 b
2 6  101 c
2 7  101 d
2 8  101 e
2 9  101 f
2 10 101 g
2 11 101 h
3 0  101 i
3 1  106 a
3 2  106 b
3 3  106 c
3 4  106 d
3 5  106 e
3 6  106 f
3 7  106 g
3 8  106 h
3 9  106 i
3 10 107 a
3 11 107 b
4 0  107 c
4 1  107 d
4 2  107 e
4 3  107 f
4 4  107 g
4 6  107 h
4 7  107 i
4 8  108 a
4 9  108 b
4 10 108 c
4 11 108 d
5 0  108 e
5 1  108 f
5 2  108 g
5 3  108 h
5 4  108 i
5 5  109 a
5 6  109 b
5 7  109 c
5 8  109 d
5 9  109 e
5 10 109 f
5 11 109 g
6 0  109 h
6 1  109 i
6 2  206 k
6 3  206 l
6 4  206 m
6 5  206 n
6 6  206 o
6 7  207 k
6 8  207 l
6 9  207 m
6 10 207 n
6 11 207 o
7 0  206 j
7 2  206 p
7 3  206 q
7 4  206 r
7 5  400 j
7 6  400 q
7 7  400 p
7 8  400 r
