#ip-address apv-chip-id apv-multiplexer-out module-id pin-id pad-id
192.168.35.17 21 2 -1 64 -1
192.168.35.17 22 2 -1 64 -1
192.168.35.17 23 2 -1 64 -1
192.168.35.18 0 2 103 64 755
192.168.35.18 1 2 103 64 634
192.168.35.18 2 2 103 64 745
192.168.35.18 3 2 103 64 624
192.168.35.18 4 2 103 64 252
192.168.35.18 5 2 103 64 257
192.168.35.18 6 2 103 64 242
192.168.35.18 7 2 103 64 247
192.168.35.18 8 2 106 64 1167
192.168.35.18 9 2 106 64 1162
192.168.35.18 10 2 106 64 1177
192.168.35.18 11 2 106 64 1172
192.168.35.18 12 2 106 64 745
192.168.35.18 13 2 106 64 624
192.168.35.18 14 2 106 64 755
192.168.35.18 15 2 106 64 634
192.168.35.18 16 2 -1 64 -1
192.168.35.18 17 2 -1 64 -1
192.168.35.18 18 2 -1 64 -1
192.168.35.18 19 2 -1 64 -1
192.168.35.18 20 2 -1 64 -1
192.168.35.18 21 2 -1 64 -1
192.168.35.18 22 2 -1 64 -1
192.168.35.18 23 2 -1 64 -1
192.168.35.19 0 2 106 64 247
192.168.35.19 1 2 106 64 242
192.168.35.19 2 2 106 64 257
192.168.35.19 3 2 106 64 252
192.168.35.19 4 2 107 64 1167
192.168.35.19 5 2 107 64 1162
192.168.35.19 6 2 107 64 1177
192.168.35.19 7 2 107 64 1172
192.168.35.19 8 2 107 64 745
192.168.35.19 9 2 107 64 624
192.168.35.19 10 2 107 64 755
192.168.35.19 11 2 107 64 634
192.168.35.19 12 2 107 64 247
192.168.35.19 13 2 107 64 242
192.168.35.19 14 2 107 64 257
192.168.35.19 15 2 107 64 252
192.168.35.19 16 2 -1 64 -1
192.168.35.19 17 2 -1 64 -1
192.168.35.19 18 2 -1 64 -1
192.168.35.19 19 2 -1 64 -1
192.168.35.19 20 2 -1 64 -1
192.168.35.19 21 2 -1 64 -1
192.168.35.19 22 2 -1 64 -1
192.168.35.19 23 2 -1 64 -1
192.168.35.17 0 3 104 96 406
192.168.35.17 1 3 104 96 401
192.168.35.17 2 3 104 96 416
192.168.35.17 3 3 104 96 411
192.168.35.17 4 3 104 96 682
192.168.35.17 5 3 104 96 727
192.168.35.17 6 3 104 96 692
192.168.35.17 7 3 104 96 737
192.168.35.17 8 3 104 96 1008
