#run_ID ut3_firm_version x 4 GTR_coincidence_window HBD_coincidence_window corr_width0 corr_width1 corr_width2 corr_valid0 corr_valid1 corr_valid2 max_track track_threshold NIM_valid x 18 trigger_prescale x 7 MRG_delay x 3
20000	20 12 24 0 16 8 144 1023 10 0 0 0 8 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 
20001	20 12 24 0 16 8 144 1023 10 0 0 0 8 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 
20002	20 12 24 0 16 8 144 1023 10 0 0 0 8 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 
20003	20 12 24 0 16 8 144 1023 10 0 0 0 8 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 
20004	20 12 24 0 16 8 144 1023 10 0 0 0 8 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 
20005	20 12 24 0 8 9 80 283 10 0 0 0 8 10 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 176 
20006	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
20007	20 12 24 0 8 9 80 283 10 0 0 0 8 10 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 176 
20008	20 12 24 0 8 9 80 283 10 0 0 0 8 10 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 176 
20009	20 12 24 0 8 9 80 283 10 0 0 0 8 10 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 176 
20010	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
20011	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
20012	20 12 24 0 8 9 80 283 10 0 0 0 8 10 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 176 
20013	20 12 24 0 8 9 80 283 10 0 0 0 8 10 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 176 
20014	20 12 24 0 8 9 80 283 10 0 0 0 8 10 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 176 
